Event No,Event,Gender,Age Group,Mode
1,50 mt. Butterfly Stroke,Boys,U - 19,Heats/final
2,50 mt. Butterfly Stroke,Girls,U - 19,Heats/final
3,1500 mt. Free Style,Boys,U - 19,Time Trial
4,50 mt. Butterfly Stroke,Boys,U - 11,Heats/final
5,50 mt. Butterfly Stroke,Girls,U - 11,Heats/final
6,50 mt. Butterfly Stroke,Boys,U - 14,Heats/final
7,50 mt. Butterfly Stroke,Girls,U - 14,Heats/final
8,50 mt. Butterfly Stroke,Boys,U - 17,Heats/final
9,50 mt. Butterfly Stroke,Girls,U - 17,Heats/final
10,100 mt. Breast Stroke,Boys,U - 14,Heats/final
11,100 mt. Breast Stroke,Girls,U - 14,Heats/final
12,100 mt. Breast Stroke,Boys,U - 17,Heats/final
13,100 mt. Breast Stroke,Girls,U - 17,Heats/final
14,100 mt. Breast Stroke,Boys,U - 19,Heats/final
15,100 mt. Breast Stroke,Girls,U - 19,Heats/final
16,200 mt. Free Style,Boys,U - 14,Time Trial
17,200 mt. Free Style,Girls,U - 14,Time Trial
18,200 mt. Free Style,Boys,U - 17,Time Trial
19,200 mt. Free Style,Girls,U - 17,Time Trial
20,200 mt. Free Style,Boys,U - 19,Time Trial
21,200 mt. Free Style,Girls,U - 19,Time Trial
22,800 mt. Free Style,Girls,U - 19,Time Trial
23,800 mt. Free Style,Girls,U - 17,Time Trial
24,50 mt. Breast Stroke,Boys,U - 11,Heats/final
25,50 mt. Breast Stroke,Girls,U - 11,Heats/final
26,50 mt. Breast Stroke,Boys,U - 14,Heats/final
27,50 mt. Breast Stroke,Girls,U - 14,Heats/final
28,50 mt. Breast Stroke,Boys,U - 17,Heats/final
29,50 mt. Breast Stroke,Girls,U - 17,Heats/final
30,50 mt. Breast Stroke,Boys,U - 19,Heats/final
31,50 mt. Breast Stroke,Girls,U - 19,Heats/final
32,100 mt. Back Stroke,Boys,U - 14,Heats/final
33,100 mt. Back Stroke,Girls,U - 14,Heats/final
34,100 mt. Back Stroke,Boys,U - 17,Heats/final
35,100 mt. Back Stroke,Girls,U - 17,Heats/final
36,100 mt. Back Stroke,Boys,U - 19,Heats/final
37,100 mt. Back Stroke,Girls,U - 19,Heats/final
38,100 mt. Free Style,Boys,U - 11,Heats/final
39,100 mt. Free Style,Girls,U - 11,Heats/final
40,100 mt. Free Style,Boys,U - 14,Heats/final
41,100 mt. Free Style,Girls,U - 14,Heats/final
42,100 mt. Free Style,Boys,U - 17,Heats/final
43,100 mt. Free Style,Girls,U - 17,Heats/final
44,100 mt. Free Style,Boys,U - 19,Heats/final
45,100 mt. Free Style,Girls,U - 19,Heats/final
46,4x100 mt. Free Style Relay,Boys,U - 14,Time Trial
47,4x100 mt. Free Style Relay,Girls,U - 14,Time Trial
48,400 mt. Free Style,Boys,U - 14,Time Trial
49,400 mt. Free Style,Girls,U - 14,Time Trial
50,400 mt. Free Style,Boys,U - 17,Time Trial
51,400 mt. Free Style,Girls,U - 17,Time Trial
52,50 mt. Back Stroke,Boys,U - 11,Heats/final
53,50 mt. Back Stroke,Girls,U - 11,Heats/final
54,50 mt. Back Stroke,Boys,U - 14,Heats/final
55,50 mt. Back Stroke,Girls,U - 14,Heats/final
56,50 mt. Back Stroke,Boys,U - 17,Heats/final
57,50 mt. Back Stroke,Girls,U - 17,Heats/final
58,50 mt. Back Stroke,Boys,U - 19,Heats/final
59,50 mt. Back Stroke,Girls,U - 19,Heats/final
60,100 mt. Butterfly Stroke,Boys,U - 14,Heats/final
61,100 mt. Butterfly Stroke,Girls,U - 14,Heats/final
62,100 mt. Butterfly Stroke,Boys,U - 17,Heats/final
63,100 mt. Butterfly Stroke,Girls,U - 17,Heats/final
64,100 mt. Butterfly Stroke,Boys,U - 19,Heats/final
65,100 mt. Butterfly Stroke,Girls,U - 19,Heats/final
66,200 mt. Breast Stroke,Boys,U - 14,Time Trial
67,200 mt. Breast Stroke,Girls,U - 14,Time Trial
68,200 mt. Breast Stroke,Boys,U - 17,Time Trial
69,200 mt. Breast Stroke,Girls,U - 17,Time Trial
70,200 mt. Breast Stroke,Boys,U - 19,Time Trial
71,200 mt. Breast Stroke,Girls,U - 19,Time Trial
72,4x50 mt. Free Style Relay,Boys,U - 11,Time Trial
73,4x50 mt. Free Style Relay,Girls,U - 11,Time Trial
74,400 mt. Individual Medley,Boys,U - 17,Time Trial
75,400 mt. Individual Medley,Girls,U - 17,Time Trial
76,400 mt. Individual Medley,Boys,U - 19,Time Trial
77,400 mt. Individual Medley,Girls,U - 19,Time Trial
78,50 mt. Free Style,Boys,U - 11,Heats/final
79,50 mt. Free Style,Girls,U - 11,Heats/final
80,50 mt. Free Style,Boys,U - 14,Heats/final
81,50 mt. Free Style,Girls,U - 14,Heats/final
82,50 mt. Free Style,Boys,U - 17,Heats/final
83,50 mt. Free Style,Girls,U - 17,Heats/final
84,50 mt. Free Style,Boys,U - 19,Heats/final
85,50 mt. Free Style,Girls,U - 19,Heats/final
86,200 mt. Butterfly Stroke,Boys,U - 14,Time Trial
87,200 mt. Butterfly Stroke,Girls,U - 14,Time Trial
88,200 mt. Butterfly Stroke,Boys,U - 17,Time Trial
89,200 mt. Butterfly Stroke,Girls,U - 17,Time Trial
90,200 mt. Butterfly Stroke,Boys,U - 19,Time Trial
91,200 mt. Butterfly Stroke,Girls,U - 19,Time Trial
92,200 mt. Back Stroke,Boys,U - 14,Time Trial
93,200 mt. Back Stroke,Girls,U - 14,Time Trial
94,200 mt. Back Stroke,Boys,U - 17,Time Trial
95,200 mt. Back Stroke,Girls,U - 17,Time Trial
96,200 mt. Back Stroke,Boys,U - 19,Time Trial
97,200 mt. Back Stroke,Girls,U - 19,Time Trial
98,4x100 mt. Free Style Relay,Boys,U - 17,Time Trial
99,4x100 mt. Free Style Relay,Girls,U - 17,Time Trial
100,4x100 mt. Free Style Relay,Boys,U - 19,Time Trial
101,4x100 mt. Free Style Relay,Girls,U - 19,Time Trial
102,800 mt. Free Style,Boys,U - 17,Time Trial
103,400 mt. Free Style,Boys,U - 19,Time Trial
104,400 mt. Free Style,Girls,U - 19,Time Trial
105,200 mt. Individual Medley,Boys,U - 11,Time Trial
106,200 mt. Individual Medley,Girls,U - 11,Time Trial
107,200 mt. Individual Medley,Boys,U - 14,Time Trial
108,200 mt. Individual Medley,Girls,U - 14,Time Trial
109,200 mt. Individual Medley,Boys,U - 17,Time Trial
110,200 mt. Individual Medley,Girls,U - 17,Time Trial
111,200 mt. Individual Medley,Boys,U - 19,Time Trial
112,200 mt. Individual Medley,Girls,U - 19,Time Trial
113,4x50 mt. Medley Relay,Boys,U - 11,Time Trial
114,4x50 mt. Medley Relay,Girls,U - 11,Time Trial
115,4x100 mt. Medley Relay,Boys,U - 14,Time Trial
116,4x100 mt. Medley Relay,Girls,U - 14,Time Trial
117,4x100 mt. Medley Relay,Boys,U - 17,Time Trial
118,4x100 mt. Medley Relay,Girls,U - 17,Time Trial
119,4x100 mt. Medley Relay,Boys,U - 19,Time Trial
120,4x100 mt. Medley Relay,Girls,U - 19,Time Trial